frame_processed,x,y,z
176,-0.113142,0.088962,0.418566
177,-0.112795,0.089404,0.418852
178,-0.112656,0.089580,0.418967
179,-0.112600,0.089651,0.419014
180,-0.112578,0.089680,0.419033
181,-0.112569,0.089691,0.419041
182,-0.112565,0.089695,0.419044
183,-0.112564,0.089697,0.419045
184,-0.112563,0.089698,0.419046
185,-0.101377,0.093455,0.450621
186,-0.096903,0.094958,0.463251
187,-0.095113,0.095560,0.468303
188,-0.094398,0.095800,0.470323
189,-0.094111,0.095896,0.471132
190,-0.093996,0.095935,0.471457
191,-0.093949,0.095952,0.471588
192,-0.093930,0.095959,0.471640
193,-0.093922,0.095962,0.471662
194,-0.093919,0.095963,0.471671
195,-0.093915,0.095966,0.471690
196,-0.094707,0.093174,0.449407
197,-0.095024,0.092057,0.440493
198,-0.095150,0.091610,0.436928
199,-0.095201,0.091431,0.435502
200,-0.095453,0.093169,0.457225
201,-0.095553,0.093865,0.465915
202,-0.095594,0.094143,0.469391
203,-0.095610,0.094254,0.470781
204,-0.095616,0.094298,0.471337
205,-0.095619,0.094316,0.471560
206,-0.095620,0.094323,0.471648
207,-0.095620,0.094326,0.471684
208,-0.097402,0.092795,0.454793
209,-0.097332,0.091762,0.451482
210,-0.096536,0.091255,0.453686
211,-0.095838,0.090869,0.458264
212,-0.095558,0.090715,0.460095
213,-0.094715,0.090259,0.465535
214,-0.094377,0.090076,0.467711
215,-0.093840,0.089755,0.473811
216,-0.093626,0.089626,0.476252
217,-0.092854,0.089554,0.482803
218,-0.092545,0.089525,0.485423
219,-0.091513,0.089326,0.492377
220,-0.090270,0.089692,0.501233
221,-0.088688,0.089886,0.510808
222,-0.087378,0.090173,0.521285
223,-0.085827,0.090429,0.531581
224,-0.084641,0.090134,0.541383
225,-0.083663,0.090694,0.554137
226,-0.082720,0.091095,0.567091
227,-0.082343,0.091256,0.572272
228,-0.081870,0.092132,0.582652
229,-0.081605,0.092943,0.595678
230,-0.080918,0.093455,0.607945
231,-0.080129,0.093737,0.618817
232,-0.079350,0.093323,0.629626
233,-0.078177,0.093240,0.640371
234,-0.077966,0.092927,0.650677
235,-0.077455,0.092626,0.661689
236,-0.077598,0.093447,0.673673
237,-0.076647,0.094635,0.686091
238,-0.076267,0.095110,0.691058
239,-0.075500,0.095491,0.700011
240,-0.075267,0.095307,0.708327
241,-0.075216,0.095362,0.710851
242,-0.075195,0.095384,0.711861
243,-0.074781,0.094899,0.715958
244,-0.074676,0.094241,0.720432
245,-0.074562,0.093653,0.727035
246,-0.074575,0.093325,0.734438
247,-0.074580,0.093194,0.737399
248,-0.073838,0.093290,0.746439
249,-0.072450,0.094083,0.758120
250,-0.071920,0.094831,0.769299
251,-0.071707,0.095129,0.773770
252,-0.071353,0.094808,0.784041
253,-0.071391,0.094157,0.792090
254,-0.071760,0.095138,0.805418
255,-0.071133,0.095218,0.820270
256,-0.070035,0.096073,0.836663
257,-0.069508,0.096255,0.848243
258,-0.068521,0.096417,0.862795
259,-0.067527,0.097205,0.876138
260,-0.067591,0.097164,0.886045
261,-0.066942,0.096880,0.896200
262,-0.065499,0.097073,0.914021
263,-0.064415,0.096756,0.928451
264,-0.063616,0.096750,0.943058
265,-0.062894,0.096821,0.955306
266,-0.062605,0.096850,0.960205
267,-0.061766,0.097217,0.972163
268,-0.061479,0.096444,0.976948
269,-0.060208,0.097012,0.988215
270,-0.059699,0.097239,0.992721
271,-0.059102,0.097882,1.001969
272,-0.058863,0.098139,1.005667
273,-0.058767,0.098241,1.007147
274,-0.058729,0.098282,1.007739
275,-0.058714,0.098299,1.007976
276,-0.058707,0.098305,1.008070
277,-0.058685,0.098219,1.008892
278,-0.057061,0.097878,1.014389
279,-0.056411,0.097742,1.016588
280,-0.056151,0.097687,1.017468
281,-0.056047,0.097665,1.017820
282,-0.054538,0.097534,1.018636
283,-0.053930,0.097503,1.018673
284,-0.053686,0.097491,1.018688
285,-0.053589,0.097486,1.018694
286,-0.052979,0.098376,1.026194
287,-0.051614,0.098991,1.035919
288,-0.051345,0.099306,1.051723
289,-0.033031,0.104924,1.125797
290,-0.025706,0.107172,1.155427
291,-0.023874,0.107090,1.151492
292,-0.023086,0.106959,1.152616
293,-0.022610,0.106902,1.155616
294,-0.022372,0.106621,1.161115
295,-0.022276,0.106509,1.163315
296,-0.022070,0.106292,1.168223
297,-0.022196,0.105851,1.175229
298,-0.022246,0.105675,1.178032
299,-0.022238,0.105687,1.183913
300,-0.022234,0.105692,1.186265
301,-0.021861,0.105477,1.192248
302,-0.021456,0.105646,1.200852
303,-0.021086,0.105664,1.209535
304,-0.020211,0.103594,1.203999
305,-0.019861,0.102766,1.201785
306,-0.019689,0.102578,1.206027
307,-0.019213,0.101877,1.212194
308,-0.018911,0.101530,1.219969
309,-0.018564,0.101349,1.228722
310,-0.018431,0.101435,1.238406
311,-0.018378,0.101469,1.242280
312,-0.017933,0.101806,1.249817
313,-0.017859,0.100611,1.252976
314,-0.017459,0.100103,1.259990
315,-0.017156,0.100272,1.268405
316,-0.010800,0.114606,1.360413
317,-0.008642,0.120972,1.400411
318,-0.007778,0.123519,1.416410
319,-0.007433,0.124537,1.422810
320,-0.007680,0.124472,1.430574
321,-0.007779,0.124446,1.433678
322,-0.007953,0.124471,1.439201
323,-0.008243,0.124785,1.448473
324,-0.008801,0.125160,1.454959
325,-0.009276,0.125356,1.459498
326,-0.009466,0.125435,1.461313
327,-0.009085,0.124730,1.467287
328,-0.008933,0.124448,1.469677
329,-0.008872,0.124335,1.470633
330,-0.008732,0.124366,1.470348
331,-0.008676,0.124379,1.470235
332,-0.008654,0.124384,1.470189
333,-0.008645,0.124386,1.470171
334,-0.009781,0.125303,1.474585
335,-0.010235,0.125669,1.476350
336,-0.010327,0.125907,1.476473
337,0.023936,0.145775,1.557346
338,0.037642,0.153723,1.589695
339,0.043124,0.156902,1.602634
340,0.045316,0.158173,1.607810
341,0.046194,0.158682,1.609881
342,0.046544,0.158885,1.610709
343,0.046628,0.158891,1.612949
344,0.046662,0.158894,1.613845
345,0.046069,0.158328,1.616242
346,0.045832,0.158102,1.617200
347,0.045737,0.158011,1.617584
348,0.045699,0.157975,1.617737
349,0.045684,0.157960,1.617799
350,0.045678,0.157955,1.617823
351,0.061044,0.150992,1.564167
352,0.067191,0.148207,1.542705
353,0.069650,0.147093,1.534120
354,0.064123,0.143481,1.573966
355,0.061610,0.141920,1.591217
